datetime;Accelerometer1RMS;Accelerometer2RMS;Current;Pressure;Temperature;Thermocouple;Voltage;Volume Flow RateRMS;anomaly;changepoint
2020-03-09 12:14:36;0.0274287;0.0403526;0.77031;0.382638;71.2129;25.0827;219.789;32.0;0.0;0.0
2020-03-09 12:14:37;0.0272694;0.0402258;1.09696;0.710565;71.4284;25.0863;233.117;32.0104;0.0;0.0
2020-03-09 12:14:38;0.02704;0.0397733;1.14015;0.054711;71.3468;25.0874;234.745;32.0;0.0;0.0
2020-03-09 12:14:39;0.0275633;0.0403126;1.10868;-0.273216;71.3258;25.0897;205.254;32.0104;0.0;0.0
2020-03-09 12:14:41;0.0265698;0.0395662;0.704404;0.382638;71.2725;25.0831;212.095;33.0;0.0;0.0
2020-03-09 12:14:42;0.0277672;0.0392324;0.705707;0.054711;71.4228;25.0741;209.007;32.9899;0.0;0.0
2020-03-09 12:14:43;0.0272973;0.040935;0.735473;0.382638;71.2527;25.0764;230.678;32.0;0.0;0.0
2020-03-09 12:14:44;0.0269471;0.0397316;1.23237;0.382638;71.3556;25.0776;239.917;32.0;0.0;0.0
2020-03-09 12:14:45;0.0267321;0.0391065;1.12935;0.054711;71.407;25.08;234.287;32.0;0.0;0.0
2020-03-09 12:14:46;0.0275306;0.0403026;1.11159;0.054711;71.279;25.0958;214.575;32.0104;0.0;0.0
2020-03-09 12:14:47;0.0275181;0.0402718;0.899563;0.054711;71.3712;25.0861;228.298;32.9899;0.0;0.0
2020-03-09 12:14:48;0.0268715;0.0386355;1.05543;0.054711;71.2892;25.0887;215.835;32.0;0.0;0.0
2020-03-09 12:14:49;0.0275529;0.0406324;1.2596;0.054711;71.2778;25.0871;229.664;32.0;0.0;0.0
2020-03-09 12:14:50;0.0273446;0.0402999;1.25534;0.054711;71.3054;25.0876;241.421;32.0;0.0;0.0
2020-03-09 12:14:51;0.027257;0.0405846;0.789109;0.054711;71.3595;25.0887;216.45;32.0104;0.0;0.0
2020-03-09 12:14:52;0.0273064;0.0395861;1.24913;0.054711;71.3417;25.0939;230.172;32.9899;0.0;0.0
2020-03-09 12:14:53;0.0280646;0.0422704;1.30845;0.054711;71.2942;25.0803;231.833;32.0;0.0;0.0
2020-03-09 12:14:54;0.0273496;0.0409175;1.30187;-0.273216;71.2549;25.0869;238.712;32.0;0.0;0.0
2020-03-09 12:14:55;0.0274555;0.0401267;1.24251;0.382638;71.3063;25.0898;230.302;32.0;0.0;0.0
2020-03-09 12:14:56;0.0278717;0.0418318;1.23708;0.054711;71.212;25.0806;231.709;32.0;0.0;0.0
2020-03-09 12:14:57;0.0275658;0.0415969;1.15592;0.054711;71.2287;25.1002;222.037;32.0;0.0;0.0
2020-03-09 12:14:58;0.0270154;0.0404519;1.15125;0.054711;71.281;25.0849;226.706;32.0;0.0;0.0
2020-03-09 12:14:59;0.027832;0.0415328;1.42425;0.054711;71.1787;25.0961;245.471;32.0;0.0;0.0
2020-03-09 12:15:00;0.0276533;0.0420257;1.27271;0.054711;71.3557;25.0814;231.185;32.0104;0.0;0.0
2020-03-09 12:15:01;0.0271207;0.0398907;1.22241;-0.273216;71.2769;25.0848;229.963;32.9899;0.0;0.0
2020-03-09 12:15:02;0.0276572;0.0407835;1.23665;0.054711;71.3174;25.1026;230.335;32.0;0.0;0.0
2020-03-09 12:15:03;0.0280589;0.0415046;1.17448;0.054711;71.1065;25.084;226.149;32.0;0.0;0.0
2020-03-09 12:15:04;0.0276993;0.0400808;1.31114;0.710565;71.4627;25.0897;230.773;32.9899;0.0;0.0
2020-03-09 12:15:05;0.0275942;0.0410755;0.836317;0.054711;71.2551;25.0915;221.919;32.0;0.0;0.0
2020-03-09 12:15:07;0.0267707;0.0385824;1.17189;0.054711;71.2293;25.088;230.276;32.0;0.0;0.0
2020-03-09 12:15:08;0.0276648;0.0396114;1.2457;0.054711;71.1368;25.0831;248.935;32.0104;0.0;0.0
2020-03-09 12:15:09;0.0274953;0.0396366;1.03714;0.710565;71.1321;25.08;220.539;32.9899;0.0;0.0
2020-03-09 12:15:10;0.0269763;0.039319;1.09079;0.054711;71.0357;25.0836;226.499;32.0;0.0;0.0
2020-03-09 12:15:11;0.0270199;0.0381659;1.37728;0.382638;71.3454;25.0872;239.519;32.0;0.0;0.0
2020-03-09 12:15:12;0.0277706;0.0409292;0.969349;-0.273216;71.0639;25.0855;223.797;32.0;0.0;0.0
2020-03-09 12:15:13;0.0269309;0.0395342;1.16964;-0.273216;71.3735;25.0855;236.017;32.0104;0.0;0.0
2020-03-09 12:15:14;0.0271275;0.0384983;0.950225;-0.601143;71.0433;25.0844;224.869;32.9899;0.0;0.0
2020-03-09 12:15:15;0.0278199;0.0400634;1.00364;0.054711;70.9263;25.0741;230.594;32.0;0.0;0.0
2020-03-09 12:15:16;0.0270859;0.0401489;1.30063;-0.601143;71.2414;25.0708;226.854;32.0104;0.0;0.0
2020-03-09 12:15:17;0.0266412;0.0392108;1.13682;-0.273216;71.2087;25.0834;232.124;32.9899;0.0;0.0
2020-03-09 12:15:18;0.0279493;0.0402376;1.22352;0.054711;71.0954;25.0855;225.409;32.0;0.0;0.0
2020-03-09 12:15:19;0.027184;0.0407571;0.945298;0.382638;71.1365;25.0752;227.402;32.0104;0.0;0.0
2020-03-09 12:15:20;0.0271111;0.0396299;1.05596;0.382638;71.0217;25.0777;253.496;32.9899;0.0;0.0
2020-03-09 12:15:21;0.0272111;0.040844;0.699098;0.054711;71.0704;25.0717;223.713;32.0;0.0;0.0
2020-03-09 12:15:22;0.0277496;0.041481;1.23335;0.054711;71.3856;25.075;235.45;32.0104;0.0;0.0
2020-03-09 12:15:23;0.0268188;0.0401091;1.30775;0.054711;71.0732;25.0749;222.368;32.9899;0.0;0.0
2020-03-09 12:15:24;0.0277636;0.0405395;0.848276;0.054711;71.455;25.0757;234.333;32.0;0.0;0.0
2020-03-09 12:15:25;0.0279386;0.0416268;1.17614;0.382638;71.1309;25.0708;227.642;32.0;0.0;0.0
2020-03-09 12:15:26;0.026702;0.0399046;1.08297;-0.273216;71.2025;25.0769;238.526;32.0;0.0;0.0
2020-03-09 12:15:27;0.0277808;0.0409222;0.707254;0.054711;71.1065;25.0764;236.42;32.0104;0.0;0.0
2020-03-09 12:15:28;0.0276169;0.0402246;0.456026;-0.273216;71.1828;25.0672;230.375;32.9899;0.0;0.0
2020-03-09 12:15:29;0.0273681;0.0408153;0.797927;0.054711;71.2518;25.072;243.95;32.0;0.0;0.0
